name,number_votes,share_votes,district,affiliation
Tánczos Krisztián,21,0.04 %,Törökszentmiklós,IRÁNYTŰ
Kerezsi Virág Ágnes,58,0.12 %,Törökszentmiklós,KÖZÖS NEVEZŐ
Rózsa Endre,4668,9.63 %,Törökszentmiklós,MSZP-PÁRBESZÉD
Ecseki Virág,1119,2.31 %,Törökszentmiklós,LMP
Pabar Gyula,84,0.17 %,Törökszentmiklós,MIÉP
Csányi Tamás,19760,40.78 %,Törökszentmiklós,JOBBIK
Pusztai Róbert,207,0.43 %,Törökszentmiklós,CSP
Buzgán András,18,0.04 %,Törökszentmiklós,ÖSSZEFOGÁS PÁRT
Zsákai Zsigmond,87,0.18 %,Karcag,MIÉP
Mikle Richárd,442,0.9 %,Karcag,MOMENTUM
Bodó Jánosné,2663,5.44 %,Karcag,DK
Turó Vilmos,26,0.05 %,Karcag,TENNI AKARÁS MOZGALOM
Páva Bertalan,0,0.0 %,Karcag,IMA
Balla Leila Klaudia,45,0.09 %,Karcag,ÖSSZEFOGÁS PÁRT
Dr. Lukács László György,16128,32.92 %,Karcag,JOBBIK
Sallai Róbert Benedek,1685,3.44 %,Karcag,LMP
Kovács Sándor,27086,55.29 %,Karcag,FIDESZ-KDNP
Boros István,112,0.23 %,Karcag,ÉRTÜNK ÉRTETEK
Csirke Rozália,46,0.09 %,Karcag,DEMOKRATA PÁRT
Turó István,30,0.06 %,Karcag,EU.ROM
Madar Gyula,72,0.15 %,Karcag,A HAZA PÁRTJA
Magyar Ildikó Zsuzsánna,80,0.16 %,Karcag,HAJRÁ MAGYARORSZÁG!
Horváth Sándor,341,0.7 %,Karcag,MUNKÁSPÁRT
Burai Pálné,32,0.07 %,Karcag,IRÁNYTŰ
Tóth Dezső,116,0.24 %,Karcag,FKGP
Farkas Zoltán,21,0.04 %,Jászberény,EU.ROM
Bakos István Péterné,19,0.04 %,Jászberény,KÖSSZ
Radics Csaba,21,0.04 %,Jászberény,TENNI AKARÁS MOZGALOM
Keskeny Ferenc,7,0.01 %,Jászberény,IRÁNYTŰ
Jámbor László,37,0.08 %,Jászberény,A HAZA PÁRTJA
Pethes Ferenc,62,0.13 %,Jászberény,NEEM
Kanálos Róbert,18,0.04 %,Jászberény,MEDETE PÁRT
Illés Tibor,0,0.0 %,Jászberény,JÓ ÚT MPP
Czibak László,0,0.0 %,Jászberény,IMA
Zsákainé Fehér Mária,15,0.03 %,Jászberény,ÖSSZEFOGÁS PÁRT
Kalmár Dávid,161,0.34 %,Jászberény,MUNKÁSPÁRT
Geiszler Tibor József,52,0.11 %,Jászberény,MIÉP
Dani József,30,0.06 %,Jászberény,MCP
Dr. Gedei József,3893,8.12 %,Jászberény,DK
Kerezsiné Kádár Éva Erika,5,0.01 %,Jászberény,NP
Eszes Béla,2035,4.25 %,Jászberény,LMP
Oláh Pál,19,0.04 %,Jászberény,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Budai Lóránt,16057,33.5 %,Jászberény,JOBBIK
Horváth Zoltán,45,0.09 %,Jászberény,ÉRTÜNK ÉRTETEK
Klepács Antalné,27,0.06 %,Jászberény,KÖZÖS NEVEZŐ
Pócs János,24549,51.21 %,Jászberény,FIDESZ-KDNP
Pálffy István,298,0.62 %,Jászberény,MOMENTUM
Csinger Marianna,372,0.78 %,Jászberény,MKKP
Urbán Imre,105,0.22 %,Jászberény,EGYÜTT
Varga Gyula,87,0.18 %,Jászberény,CSP
Pintér Zsolt,148,0.33 %,Hajdúböszörmény,CSP
Csige Tamás,7914,17.72 %,Hajdúböszörmény,MSZP-PÁRBESZÉD
Kovács Roland,483,1.08 %,Hajdúböszörmény,MOMENTUM
Szitai István,77,0.17 %,Hajdúböszörmény,EU.ROM
Apáti József,12,0.03 %,Hajdúböszörmény,ÖSSZEFOGÁS PÁRT
Andorkó László,62,0.14 %,Hajdúböszörmény,SZEM PÁRT
Dobány László,158,0.35 %,Hajdúböszörmény,MUNKÁSPÁRT
Tóth Tamás,1333,2.99 %,Hajdúböszörmény,LMP
Dr. Tiba István,21843,48.91 %,Hajdúböszörmény,FIDESZ-KDNP
Mezei Alex,22,0.05 %,Hajdúböszörmény,KÖSSZ
Balogh Bettina,100,0.22 %,Hajdúböszörmény,MCP
Papp Csilla,48,0.11 %,Hajdúböszörmény,TENNI AKARÁS MOZGALOM
Kiss Szabolcs,25,0.06 %,Hajdúböszörmény,IRÁNYTŰ
Kovács Máté,0,0.0 %,Hajdúböszörmény,EMMO
Demeter Pál,12227,27.38 %,Hajdúböszörmény,JOBBIK
Vadas Erika,23,0.05 %,Hajdúböszörmény,MISZEP
Kiss Ferencné,55,0.12 %,Hajdúböszörmény,MIÉP
Támcsu Erzsébet,21,0.05 %,Hajdúböszörmény,OP
Daróczi Sándor,105,0.24 %,Hajdúböszörmény,A HAZA PÁRTJA
Pásztor László,223,0.4 %,Szolnok,CSP
Dr. Kállai Mária,23665,42.09 %,Szolnok,FIDESZ-KDNP
Vallyon Roland,133,0.24 %,Szolnok,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Szabó Éva,47,0.08 %,Szolnok,NP
Farkas István,41,0.07 %,Szolnok,MCP
Györfi Mihály,8520,15.15 %,Szolnok,MSZP-PÁRBESZÉD
Mester Erzsébet,39,0.07 %,Szolnok,MEDETE PÁRT
Dr. Kelemen István,2028,3.61 %,Szolnok,LMP
Szép Tivadar,164,0.29 %,Szolnok,MIÉP
Bencsik Mihály,427,0.76 %,Szolnok,MUNKÁSPÁRT
Győre István,63,0.11 %,Szolnok,ÉRTÜNK ÉRTETEK
Varga Péter Miklósné,18,0.03 %,Szolnok,AQP
Farkas Olivér,12,0.02 %,Szolnok,JÓ ÚT MPP
Szekeres Éva,863,1.53 %,Szolnok,MOMENTUM
Dr. Balog Gábor,154,0.27 %,Szolnok,SEM
Dr. Csikós Attila,19746,35.12 %,Szolnok,JOBBIK
Pálfi Dávid,26,0.05 %,Szolnok,IRÁNYTŰ
Káposztás Zsuzsanna,40,0.07 %,Szolnok,KÖSSZ
Veress Csilla,18,0.03 %,Szolnok,ÖSSZEFOGÁS PÁRT
Tóth Norbert,1703,3.12 %,Hatvan,LMP
Tóth Norbert,4755,8.7 %,Hatvan,MSZP-PÁRBESZÉD
Földi Dániel Jenő,90,0.16 %,Hatvan,MEDETE PÁRT
Jambrik Gézáné,77,0.14 %,Hatvan,REND PÁRT
Sneider Tamás,19219,35.18 %,Hatvan,JOBBIK
Bakos János Ignác,39,0.07 %,Hatvan,LENDÜLETTEL
Galcsik Zsanett,45,0.08 %,Hatvan,KÖSSZ
Rézműves Róbert,27,0.05 %,Hatvan,EU.ROM
Marinka-Gonda Lilla,0,0.0 %,Hatvan,KÖZÖS NEVEZŐ
Forgó Miklós,27,0.05 %,Hatvan,IRÁNYTŰ
Kovács Rita,252,0.46 %,Hatvan,CSP
Szabó Zsolt,27726,50.75 %,Hatvan,FIDESZ-KDNP
Kiss Gábor,46,0.08 %,Hatvan,ÖSSZEFOGÁS PÁRT
Déri Tibor,547,1.0 %,Hatvan,MOMENTUM
Erdős Mihály,79,0.14 %,Hatvan,A HAZA PÁRTJA
Birtalan József,44,0.08 %,Gyöngyös,ÖSSZEFOGÁS PÁRT
Orosz Bálint János,4632,8.31 %,Gyöngyös,MSZP-PÁRBESZÉD
Réz Ágnes,191,0.34 %,Gyöngyös,EGYÜTT
Zvara Zsolt,27,0.05 %,Gyöngyös,IRÁNYTŰ
Gazsi Henrietta,38,0.07 %,Gyöngyös,MEDETE PÁRT
Hegedűs Dávid,43,0.08 %,Gyöngyös,REND PÁRT
Reichenberger János Gyula,1260,2.26 %,Gyöngyös,LMP
Szőcsi Lajos,65,0.12 %,Gyöngyös,EU.ROM
Nagy Gábor Elemér,57,0.1 %,Gyöngyös,LENDÜLETTEL
Horváth László,25729,46.15 %,Gyöngyös,FIDESZ-KDNP
Pocsai István Zoltán,122,0.22 %,Gyöngyös,CSP
Kalcsó Jenő,0,0.0 %,Gyöngyös,KÖZÖS NEVEZŐ
Vona Gábor,23379,41.94 %,Gyöngyös,JOBBIK
Búzás Mónika,106,0.19 %,Gyöngyös,SEM
Töviskesné Dsupin Judit,35,0.06 %,Gyöngyös,A HAZA PÁRTJA
Suha Béláné,19,0.03 %,Gyöngyös,EMMO
Kertészné Kormos Noémi,3987,6.76 %,Eger,DK
Molnár István,192,0.33 %,Eger,CSP
Dr. Kovács Krisztián,36,0.06 %,Eger,IRÁNYTŰ
Komlósi Csaba,1914,3.25 %,Eger,LMP
Barkóczi Nikoletta,0,0.0 %,Eger,LENDÜLETTEL
Malacsik Dénes,37,0.06 %,Eger,EU.ROM
Mirkóczki Ádám,23115,39.22 %,Eger,JOBBIK
Lajtos Boglárka,39,0.07 %,Eger,HAJRÁ MAGYARORSZÁG!
Barkóczi Géza,0,0.0 %,Eger,MCP
Nyitrai Zsolt,27374,46.44 %,Eger,FIDESZ-KDNP
Komora Viktória,86,0.15 %,Eger,SEM
Várady Zoltán,664,1.13 %,Eger,MKKP
Tokár Zsolt,0,0.0 %,Eger,ÉRTÜNK ÉRTETEK
Ragályi Jánosné,19,0.03 %,Eger,REND PÁRT
Berecz Anett,12,0.02 %,Eger,HAZA MINDENKIÉ
Dr. Csorba László,676,1.15 %,Eger,Független jelölt
Bátori Tamás,35,0.06 %,Eger,DEMOKRATA PÁRT
Biró Katalin,48,0.08 %,Eger,KÖZÖS NEVEZŐ
Déri Jolán Erzsébet,14,0.02 %,Eger,ÖSSZEFOGÁS PÁRT
Tóth Zoltán,0,0.0 %,Eger,MOMENTUM
Vámos Csaba,609,1.03 %,Eger,Független jelölt
Varga Anikó Csilla,87,0.15 %,Eger,MIÉP
Gottdiener Éva,219,0.46 %,Debrecen,CSP
Káposznyák István,3654,7.6 %,Debrecen,DK
Tasó László,27979,58.16 %,Debrecen,FIDESZ-KDNP
Balogh Ákos Istvánné,48,0.1 %,Debrecen,ÖSSZEFOGÁS PÁRT
Égerháziné Zubály Ibolya,28,0.06 %,Debrecen,NP
Gál József,70,0.15 %,Debrecen,IMA
Nagy József,33,0.07 %,Debrecen,IRÁNYTŰ
Talpas János,83,0.17 %,Debrecen,MISZEP
Lendvai Bátor Zsolt,67,0.14 %,Debrecen,TENNI AKARÁS MOZGALOM
Lakatos Árpád,639,1.33 %,Debrecen,MOMENTUM
Hortó József,117,0.24 %,Debrecen,MCP
Tóth Sándorné,34,0.07 %,Debrecen,REND PÁRT
Varga Zsolt László,73,0.15 %,Debrecen,KÖZÖS NEVEZŐ
Kiss Tamás Péter,1942,4.04 %,Debrecen,LMP
Csikai József,12249,25.46 %,Debrecen,JOBBIK
Menyhért Attila,47,0.1 %,Debrecen,EU.ROM
Szepesi Gábor,52,0.11 %,Debrecen,MEDETE PÁRT
Dr. Nagy Attila,85,0.18 %,Debrecen,MIÉP
Kosztin Mihály,690,1.43 %,Debrecen,EGYÜTT
Dr. Szegedi István,0,0.0 %,Debrecen,EGYÜTT
Farkas Tibor,65,0.13 %,Debrecen,ÖSSZEFOGÁS PÁRT
Szűcs Sándor,139,0.28 %,Debrecen,MEDETE PÁRT
Horváth Zoltán,1459,2.95 %,Debrecen,MOMENTUM
Murguly Mátyás,2597,5.25 %,Debrecen,LMP
Gyányiné Dudás Mária Ildikó,179,0.36 %,Debrecen,MIÉP
Lakatos-Balog József,20,0.04 %,Debrecen,IMA
Kozma Attila Mátyás,278,0.56 %,Debrecen,MUNKÁSPÁRT
Kósa Lajos,23441,47.36 %,Debrecen,FIDESZ-KDNP
Kiss Evelin,0,0.0 %,Debrecen,EMMO
Herpergel Róbert,7531,15.21 %,Debrecen,JOBBIK
Gulyásné Dr. Gurmai Zita,13648,27.57 %,Debrecen,MSZP-PÁRBESZÉD
Antal Dániel,52,0.11 %,Debrecen,NEMZET ÉS BÉKE
Pásku András,89,0.18 %,Debrecen,IRÁNYTŰ
Görög Jenő,2992,5.98 %,Debrecen,LMP
Varga Zoltán,6002,11.99 %,Debrecen,DK
Dr. Pósán László,24731,49.4 %,Debrecen,FIDESZ-KDNP
Fegyverneki László,26,0.05 %,Debrecen,NEMZET ÉS BÉKE
Varga Imre,342,0.68 %,Debrecen,MUNKÁSPÁRT
Apáti-Gárdonyi Edina,72,0.14 %,Debrecen,ÖSSZEFOGÁS PÁRT
Dr. Orosz Tamás,533,1.06 %,Debrecen,EGYÜTT
Nyiri László Ernő,69,0.14 %,Debrecen,FKGP
Szabados István,1031,2.06 %,Debrecen,MKKP
Mándi László,1347,2.69 %,Debrecen,MOMENTUM
Szabó Ferenc,47,0.09 %,Debrecen,IRÁNYTŰ
Kőszeghy Ábel,12723,25.41 %,Debrecen,JOBBIK
Orosz Attila,152,0.3 %,Debrecen,MIÉP
Szakács Gyula,2545,4.48 %,Sopron,LMP
Nyúl-Tóth Gábor,45,0.08 %,Sopron,KÖSSZ
Babos Zoltán,147,0.26 %,Sopron,MEDETE PÁRT
Horváth Skolasztika,59,0.1 %,Sopron,SZEM PÁRT
Barcza Attila,30936,54.44 %,Sopron,FIDESZ-KDNP
Kádár Katalin Margit,44,0.08 %,Sopron,ÖSSZEFOGÁS PÁRT
Dr. Brenner Koloman,10301,18.13 %,Sopron,JOBBIK
Supka-Kovácsné Holzhofer Tünde,1824,3.21 %,Sopron,MOMENTUM
Póczik Roland,9558,16.82 %,Sopron,MSZP-PÁRBESZÉD
Guba Anikó,199,0.35 %,Sopron,SEM
Tichy-Rács József,1167,2.05 %,Sopron,MKKP
Nagyné Biró Erika,52,0.12 %,Berettyóújfalu,IRÁNYTŰ
Megyesi Károly,95,0.22 %,Berettyóújfalu,MIÉP
Rézmüves Anasztázia,50,0.12 %,Berettyóújfalu,SZP
Oláh Edit,29,0.07 %,Berettyóújfalu,NP
Edelényiné Nagy Mária,129,0.3 %,Berettyóújfalu,MUNKÁSPÁRT
Dr. Majoros Imre,1125,2.62 %,Berettyóújfalu,LMP
Varga Zita,96,0.22 %,Berettyóújfalu,KÖZÖS NEVEZŐ
Kovácsné Csatári Éva,46,0.11 %,Berettyóújfalu,KÖSSZ
Horváth Gyula,41,0.1 %,Berettyóújfalu,NEMZET ÉS BÉKE
Keresztesy Gergő,12938,30.16 %,Berettyóújfalu,JOBBIK
Dr. Vitányi István,23630,55.09 %,Berettyóújfalu,FIDESZ-KDNP
Török Beatrix,61,0.14 %,Berettyóújfalu,SZEM PÁRT
Buzinkay György,343,0.8 %,Berettyóújfalu,MOMENTUM
Lencsésné Gál Mária,4210,9.82 %,Berettyóújfalu,MSZP-PÁRBESZÉD
Burai Zoltánné,46,0.11 %,Berettyóújfalu,EU.ROM
Marosi Mónika,120,0.26 %,Hajdúszoboszló,Független jelölt
Oláh Dávid,37,0.08 %,Hajdúszoboszló,SZP
Glatz János,36,0.08 %,Hajdúszoboszló,SZEM PÁRT
Mikula Erzsébet,0,0.0 %,Hajdúszoboszló,Független jelölt
Lakatos Gizella,0,0.0 %,Hajdúszoboszló,Független jelölt
Örvendi Cintia Nóra,162,0.36 %,Hajdúszoboszló,SEM
Drotár Adrienn,130,0.29 %,Hajdúszoboszló,ÚMF
Varga Réka,0,0.0 %,Hajdúszoboszló,Független jelölt
Lakatos Miklós Erik,39,0.09 %,Hajdúszoboszló,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Kovács Klaudia Éva,39,0.09 %,Hajdúszoboszló,KÖSSZ
Makula Krisztián,40,0.09 %,Hajdúszoboszló,Független jelölt
Szemők Zoltán,91,0.2 %,Hajdúszoboszló,EGYÜTT
Balogh Lajos,0,0.0 %,Hajdúszoboszló,Független jelölt
Horváth Tibor,94,0.21 %,Hajdúszoboszló,FKGP
Rigán István,13542,29.8 %,Hajdúszoboszló,JOBBIK
Dede Tamás,5111,11.25 %,Hajdúszoboszló,MSZP-PÁRBESZÉD
Lakatos János,76,0.17 %,Hajdúszoboszló,MCP
Radics Péter,1571,3.46 %,Hajdúszoboszló,LMP
Kovács Katalin,0,0.0 %,Hajdúszoboszló,Független jelölt
Bodó Sándor,23444,51.58 %,Hajdúszoboszló,FIDESZ-KDNP
Budaházy Áron,122,0.27 %,Hajdúszoboszló,MIÉP
Cseri Melinda,50,0.11 %,Hajdúszoboszló,NP
Kovács Imre Krisztián,574,1.26 %,Hajdúszoboszló,MOMENTUM
Kárai Imre,47,0.1 %,Hajdúszoboszló,HAJRÁ MAGYARORSZÁG!
Sipos Sándor,125,0.28 %,Hajdúszoboszló,MUNKÁSPÁRT
Bogyai Zsolt,5246,9.91 %,Mosonmagyaróvár,MSZP-PÁRBESZÉD
Deák János,55,0.1 %,Mosonmagyaróvár,ÉRTÜNK ÉRTETEK
Tivadari Zsuzsanna,72,0.14 %,Mosonmagyaróvár,KÖSSZ
Pintér Zoltán,46,0.09 %,Mosonmagyaróvár,ÖSSZEFOGÁS PÁRT
Deschelak Károly Ferenc,215,0.41 %,Mosonmagyaróvár,EGYÜTT
Joó András,28,0.05 %,Mosonmagyaróvár,HAJRÁ MAGYARORSZÁG!
Nagy Ádám,215,0.41 %,Mosonmagyaróvár,MUNKÁSPÁRT
Gősi Melinda,56,0.11 %,Mosonmagyaróvár,SZEM PÁRT
Dr. Nagy István,29033,54.85 %,Mosonmagyaróvár,FIDESZ-KDNP
Márkus János,145,0.27 %,Mosonmagyaróvár,FKGP
Jávor Miklós,13823,26.12 %,Mosonmagyaróvár,JOBBIK
Goda Bálint Zsolt,2771,5.24 %,Mosonmagyaróvár,LMP
Pongrácz Szimonetta,46,0.09 %,Mosonmagyaróvár,MEDETE PÁRT
Oláh Cintia Virgínia,75,0.14 %,Mosonmagyaróvár,MAGYAR DEMOKRATIKUS UNIÓ
Kuzmits Ferenc,174,0.33 %,Mosonmagyaróvár,CSP
Puter Ferenc,18,0.03 %,Mosonmagyaróvár,IMA
Nagy Péter Krisztián,912,1.72 %,Mosonmagyaróvár,MKKP
Szabó Zoltán,2998,6.15 %,Csorna,DK
Gyopáros Alpár,31148,63.9 %,Csorna,FIDESZ-KDNP
Molnár Ferenc,2100,4.31 %,Csorna,LMP
Budai Zsaklin,539,1.11 %,Csorna,MOMENTUM
Magyar Zoltán,11575,23.75 %,Csorna,JOBBIK
Bedecs Amália,71,0.15 %,Csorna,ÖSSZEFOGÁS PÁRT
Csóka Richárd,132,0.27 %,Csorna,SEM
Farkas István Zoltán,99,0.2 %,Csorna,SZEM PÁRT
Karaffa László,82,0.17 %,Csorna,MEDETE PÁRT
Tóth Viktória,41,0.08 %,Győr,NP
Liszi Norbert,1110,2.12 %,Győr,MOMENTUM
Pongráczné Truczán Matild,225,0.43 %,Győr,CSP
Szabó János,44,0.08 %,Győr,ÚMF
Szendi Gábor,28,0.05 %,Győr,IRÁNYTŰ
Szőke Géza,34,0.07 %,Győr,MEDETE PÁRT
Kara Ákos,30138,57.64 %,Győr,FIDESZ-KDNP
Huszár-Kiss Szabina,0,0.0 %,Győr,OP
Mészáros Károly,83,0.16 %,Győr,SZEM PÁRT
Greguss András,6891,13.18 %,Győr,MSZP-PÁRBESZÉD
Dr. Menyhárt Miklós,11046,21.12 %,Győr,JOBBIK
Farsang Edit Mária,82,0.16 %,Győr,KÖZÖS NEVEZŐ
Takács András,2480,4.74 %,Győr,LMP
Szelenszkyné Mónus Éva,44,0.08 %,Győr,REND PÁRT
Szomódi Zsuzsanna,0,0.0 %,Győr,KÖSSZ
Galó József,13,0.02 %,Győr,IMA
Pintérné Fejes Edina Katalin,32,0.06 %,Győr,ÖSSZEFOGÁS PÁRT
Finta Violetta,126,0.26 %,Győr,OP
Molnár József,1402,2.87 %,Győr,MOMENTUM
Csonka Mihály,78,0.16 %,Győr,IMA
Regdon Erika,38,0.08 %,Győr,ÖSSZEFOGÁS PÁRT
Varga Márk,0,0.0 %,Győr,EGYÜTT
Tóth Máté,49,0.1 %,Győr,SZEM PÁRT
Jenei Ferenc,3118,6.39 %,Győr,LMP
Tivadari Mária,37,0.08 %,Győr,KÖSSZ
Szőke Hedvig Erzsébet,218,0.45 %,Győr,CSP
Dobai János Iván,45,0.09 %,Győr,MEDETE PÁRT
Simon Róbert Balázs,24193,49.55 %,Győr,FIDESZ-KDNP
Balogh Gyula,52,0.11 %,Győr,TENNI AKARÁS MOZGALOM
Milkovics Attila,167,0.34 %,Győr,MUNKÁSPÁRT
Kelemen István Péter,72,0.15 %,Győr,MIÉP
Horváth Éva,195,0.4 %,Győr,MINŐKP
Ábrahám Tibor,28,0.06 %,Győr,A HAZA PÁRTJA
Fodor Roland,8448,17.3 %,Győr,JOBBIK
Glázer Tímea,10561,21.63 %,Győr,DK
Dankó Lajos,86,0.18 %,Dunaújváros,KÖSSZ
Csajbók Lóránt Ákos,245,0.52 %,Dunaújváros,MUNKÁSPÁRT
Kovács János,129,0.28 %,Dunaújváros,MISZEP
Kaszó Róbert,675,1.44 %,Dunaújváros,MOMENTUM
Szele Zoltán,67,0.14 %,Dunaújváros,ÖSSZEFOGÁS PÁRT
Környei-Papp Tamás,0,0.0 %,Dunaújváros,NEMZET ÉS BÉKE
Dóczi Zsuzsanna,241,0.51 %,Dunaújváros,SEM
Dankóné Balog Ilona,39,0.08 %,Dunaújváros,EMMO
Illéssy István,1638,3.49 %,Dunaújváros,LMP
Pintér Tamás,20405,43.53 %,Dunaújváros,JOBBIK
Szalai Mária,48,0.1 %,Dunaújváros,TENNI AKARÁS MOZGALOM
Maár Tünde,49,0.1 %,Dunaújváros,MEDETE PÁRT
Dankó István,40,0.09 %,Dunaújváros,EU.ROM
Mezei Zsolt,4668,9.96 %,Dunaújváros,DK
Dr. Galambos Dénes,18541,39.56 %,Dunaújváros,FIDESZ-KDNP
Szatmári Ildikó,2732,5.09 %,Bicske,LMP
Varga László Béla,12559,23.41 %,Bicske,JOBBIK
Szilágyi László,8041,14.99 %,Bicske,MSZP-PÁRBESZÉD
Molnár Dániel,1381,2.57 %,Bicske,MOMENTUM
Fehér Norbert,104,0.19 %,Bicske,ÖSSZEFOGÁS PÁRT
Győri Zoltán,184,0.34 %,Bicske,MIÉP
Tessely Zoltán,28415,52.97 %,Bicske,FIDESZ-KDNP
Horváth Levente,226,0.42 %,Bicske,SZEM PÁRT
Kotsis Dóra,150,0.3 %,Székesfehérvár,MEDETE PÁRT
Perneczky László,2173,4.28 %,Székesfehérvár,LMP
Törő Gábor,27250,53.69 %,Székesfehérvár,FIDESZ-KDNP
Tóth Péter,1016,2.0 %,Székesfehérvár,MOMENTUM
Veres Péter,268,0.53 %,Székesfehérvár,MUNKÁSPÁRT
Takácsné Vágó Viktória,356,0.7 %,Székesfehérvár,CSP
Horváth András,4761,9.38 %,Székesfehérvár,MSZP-PÁRBESZÉD
Pusztai Zoltán,54,0.11 %,Székesfehérvár,MISZEP
Vágó Csaba,72,0.14 %,Székesfehérvár,ÖSSZEFOGÁS PÁRT
Fazakas Attila,14652,28.87 %,Székesfehérvár,JOBBIK
Árgyelán János,13777,32.15 %,Sárbogárd,JOBBIK
Horváth Krisztián,55,0.13 %,Sárbogárd,SZEM PÁRT
Góman Erika,19,0.04 %,Sárbogárd,ECDP
Ulveczki Réka,30,0.07 %,Sárbogárd,HHP
Pekács Milán,35,0.08 %,Sárbogárd,OP
Kerekes Attila,15,0.04 %,Sárbogárd,KEDN
Németh István,22,0.05 %,Sárbogárd,EU.ROM
Kővári Márk,23,0.05 %,Sárbogárd,TAMP
Vitéz-Farkas Ferenc,74,0.17 %,Sárbogárd,DEMOKRATA PÁRT
Kolompár László,24,0.06 %,Sárbogárd,MCP
Dajbukát Balázs,12,0.03 %,Sárbogárd,ÉRTÜNK ÉRTETEK
Huszti Józsefné,44,0.1 %,Sárbogárd,MISZEP
Lapos Péter,1219,2.84 %,Sárbogárd,LMP
Varga Gábor,23982,55.97 %,Sárbogárd,FIDESZ-KDNP
Szilveszterné Nyuli Ilona,2518,5.88 %,Sárbogárd,DK
Kolompár Attila,7,0.02 %,Sárbogárd,ERP
Kolompár Krisztina,22,0.05 %,Sárbogárd,EMMO
Majláth László,15,0.04 %,Sárbogárd,IMA
Hegedüs Csaba,28,0.07 %,Sárbogárd,TENNI AKARÁS MOZGALOM
Rozmán Tamás,73,0.17 %,Sárbogárd,MIÉP
Tóth Csaba,31,0.07 %,Sárbogárd,ÖSSZEFOGÁS PÁRT
Horváth Sándor,0,0.0 %,Sárbogárd,MVMP
Berényi Imre,183,0.43 %,Sárbogárd,MUNKÁSPÁRT
Dudás Albert,34,0.08 %,Sárbogárd,KÖSSZ
Szigetvári Viktor,609,1.42 %,Sárbogárd,EGYÜTT
Ráczné Földi Judit,14740,30.99 %,Székesfehérvár,DK
Bertók-Varga Viktória,101,0.21 %,Székesfehérvár,MEDETE PÁRT
Lakatos Viktor,33,0.07 %,Székesfehérvár,EMMO
Bernáth Anett,80,0.17 %,Székesfehérvár,ÖSSZEFOGÁS PÁRT
Botos Gergő,123,0.26 %,Székesfehérvár,MIÉP
Rákosi Judit,2868,6.03 %,Székesfehérvár,LMP
Jávor Judit,0,0.0 %,Székesfehérvár,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Tóth Nóra Timea,6599,13.87 %,Székesfehérvár,JOBBIK
Pintér András Gábor,0,0.0 %,Székesfehérvár,MOMENTUM
Erdős Ferenc,258,0.54 %,Székesfehérvár,MUNKÁSPÁRT
Vágner Olivér,327,0.69 %,Székesfehérvár,CSP
Vargha Tamás,22433,47.17 %,Székesfehérvár,FIDESZ-KDNP
Lázár János,29534,51.78 %,Hódmezővásárhely,FIDESZ-KDNP
Szimandlné Nagy Ibolya,52,0.09 %,Hódmezővásárhely,ÖSSZEFOGÁS PÁRT
Szimandl János,198,0.35 %,Hódmezővásárhely,CSP
Rója István,4234,7.42 %,Hódmezővásárhely,MSZP-PÁRBESZÉD
Dr. Kiss Attila,20940,36.71 %,Hódmezővásárhely,JOBBIK
Pongrácz Gergely,1003,1.76 %,Hódmezővásárhely,LMP
Farkas Tamás,749,1.31 %,Hódmezővásárhely,MKKP
Szimandl Tamás,50,0.09 %,Hódmezővásárhely,MEDETE PÁRT
Nagy Gyula Imréné,169,0.3 %,Hódmezővásárhely,MUNKÁSPÁRT
Kaszab Zsolt István,110,0.19 %,Hódmezővásárhely,SEM
Jakab Tamás,0,0.0 %,Hódmezővásárhely,MOMENTUM
Dombi Gábor,468,0.85 %,Szentes,EGYÜTT
Ornyik Imre,601,1.09 %,Szentes,Független jelölt
Szabó Zoltán Ferenc,20808,37.79 %,Szentes,JOBBIK
Mihály József Tibor,134,0.24 %,Szentes,MIÉP
Gila Ádám,97,0.18 %,Szentes,REND PÁRT
Farkas Sándor,27322,49.62 %,Szentes,FIDESZ-KDNP
Demeter István,100,0.18 %,Szentes,TENNI AKARÁS MOZGALOM
Hegedűs Barnabás,865,1.57 %,Szentes,MOMENTUM
Dr. Bene Gábor,158,0.29 %,Szentes,NEEM
Rostás Dávid Tivadar,38,0.07 %,Szentes,OCP
Bartók Gyula Szilveszter,113,0.21 %,Szentes,KÖZÖS NEVEZŐ
Kasler Sándor,96,0.17 %,Szentes,A HAZA PÁRTJA
Mihály Alexandra,49,0.09 %,Szentes,MCP
Dr. Eörsi Mátyás,2671,4.85 %,Szentes,DK
D'Elia Viktor,1548,2.81 %,Szentes,LMP
Tusz Andrea,0,0.0 %,Szentes,HAJRÁ MAGYARORSZÁG!
B Nagy László,27344,44.62 %,Szeged,FIDESZ-KDNP
Györgyey János,308,0.5 %,Szeged,EGYÜTT
Fackelmann István,6970,11.37 %,Szeged,JOBBIK
Joób Márton,21711,35.43 %,Szeged,MSZP-PÁRBESZÉD
Dr. Tessényi Judit,2512,4.1 %,Szeged,LMP
Boros-Gyevi Gergely,1097,1.79 %,Szeged,MOMENTUM
